court_name,zipcode,filings
Rochester City Court,14445,1
Rochester City Court,14613,1560
Rochester City Court,14616,98
Rochester City Court,14624,6
Rochester City Court,14621,2348
Rochester City Court,14605,1142
Rochester City Court,14610,211
Rochester City Court,14611,1697
Rochester City Court,14617,3
Rochester City Court,14618,2
Rochester City Court,14623,4
Rochester City Court,14608,1218
Rochester City Court,14607,768
Rochester City Court,14606,967
Rochester City Court,14612,350
Rochester City Court,14619,759
Rome City Court,13442,1
Rome City Court,13308,32
Rome City Court,13340,1
Rome City Court,13441,11
Rome City Court,13476,1
Rome City Court,13471,1
Rome City Court,13440,1315
Rye City Court,10580,65
Rye City Court,10573,1
Salamanca City Court,14760,1
Salamanca City Court,14779,91
Saratoga Springs City Court,12871,1
Saratoga Springs City Court,12866,914
Schenectady City Court,12118,1
Schenectady City Court,12303,761
Schenectady City Court,12302,8
Schenectady City Court,12078,1
Schenectady City Court,12304,771
Schenectady City Court,12301,1
Schenectady City Court,11412,1
Schenectady City Court,12056,1
Schenectady City Court,12309,79
Schenectady City Court,12308,777
Schenectady City Court,12306,278
Schenectady City Court,12305,621
Schenectady City Court,12307,776
Schenectady City Court,12134,2
Schenectady City Court,12182,1
Schenectady City Court,12208,1
Sherrill City Court,13461,14
Suffolk County District Court - 2nd District,11703,183
Suffolk County District Court - 2nd District,11735,117
Suffolk County District Court - 2nd District,11798,432
Suffolk County District Court - 2nd District,11702,140
Suffolk County District Court - 2nd District,11701,594
Suffolk County District Court - 2nd District,11779,2
Suffolk County District Court - 2nd District,11803,1
Suffolk County District Court - 2nd District,11729,379
Suffolk County District Court - 2nd District,11722,2
Suffolk County District Court - 2nd District,11726,282
Suffolk County District Court - 2nd District,11706,2
Suffolk County District Court - 2nd District,11704,561
Suffolk County District Court - 2nd District,11757,389
Suffolk County District Court - 2nd District,11795,1
Suffolk County District Court - 3rd District,11727,1
Suffolk County District Court - 3rd District,11731,117
Suffolk County District Court - 3rd District,11747,327
Suffolk County District Court - 3rd District,11735,1
Suffolk County District Court - 3rd District,11740,27
Suffolk County District Court - 3rd District,11801,1
Suffolk County District Court - 3rd District,11725,39
Suffolk County District Court - 3rd District,11724,7
Suffolk County District Court - 3rd District,11743,192
Suffolk County District Court - 3rd District,11729,1
Suffolk County District Court - 3rd District,11768,40
Suffolk County District Court - 3rd District,11721,19
Suffolk County District Court - 3rd District,11763,1
Suffolk County District Court - 3rd District,11746,531
Suffolk County District Court - 4th District,11787,235
Suffolk County District Court - 4th District,11780,74
Suffolk County District Court - 4th District,11987,1
Suffolk County District Court - 4th District,11755,3
Suffolk County District Court - 4th District,11767,53
Suffolk County District Court - 4th District,11779,3
Suffolk County District Court - 4th District,11725,119
Suffolk County District Court - 4th District,11768,4
Suffolk County District Court - 4th District,11788,102
Suffolk County District Court - 4th District,11754,64
Suffolk County District Court - 5th District,11705,260
Suffolk County District Court - 5th District,11752,73
Suffolk County District Court - 5th District,11706,1134
Suffolk County District Court - 5th District,11718,20
Suffolk County District Court - 5th District,11770,3
Suffolk County District Court - 5th District,11730,189
Suffolk County District Court - 5th District,11742,75
Suffolk County District Court - 5th District,11782,276
Suffolk County District Court - 5th District,11751,150
Suffolk County District Court - 5th District,11716,472
Suffolk County District Court - 5th District,11772,7
Suffolk County District Court - 5th District,11704,4
Suffolk County District Court - 5th District,11757,2
Suffolk County District Court - 5th District,11796,39
Suffolk County District Court - 5th District,11769,52
Suffolk County District Court - 5th District,11722,702
Suffolk County District Court - 5th District,11747,2
Suffolk County District Court - 5th District,11795,67
Suffolk County District Court - 5th District,11701,1
Suffolk County District Court - 5th District,11934,1
Suffolk County District Court - 5th District,11788,90
Suffolk County District Court - 5th District,11967,1
Suffolk County District Court - 5th District,11798,1
Suffolk County District Court - 5th District,11729,2
Suffolk County District Court - 5th District,11717,515
Suffolk County District Court - 5th District,11953,1
Suffolk County District Court - 5th District,11726,1
Suffolk County District Court - 5th District,11779,551
Suffolk County District Court - 5th District,11739,1
Suffolk County District Court - 5th District,11741,615
Suffolk County District Court - 5th District,11749,39
Suffolk County District Court - 6th District,11980,121
Suffolk County District Court - 6th District,11733,42
Suffolk County District Court - 6th District,11784,335
Suffolk County District Court - 6th District,11780,1
Suffolk County District Court - 6th District,11776,373
Suffolk County District Court - 6th District,11778,82
Suffolk County District Court - 6th District,11715,15
Suffolk County District Court - 6th District,11941,5
Suffolk County District Court - 6th District,11787,1
Suffolk County District Court - 6th District,11934,45
Suffolk County District Court - 6th District,11716,1
Suffolk County District Court - 6th District,11720,224
Suffolk County District Court - 6th District,11967,262
Suffolk County District Court - 6th District,11738,540
Suffolk County District Court - 6th District,11764,50
Suffolk County District Court - 6th District,11792,6
Suffolk County District Court - 6th District,11726,1
Suffolk County District Court - 6th District,11786,10
Suffolk County District Court - 6th District,11742,51
Suffolk County District Court - 6th District,11931,1
Suffolk County District Court - 6th District,11772,1149
Suffolk County District Court - 6th District,11953,472
Suffolk County District Court - 6th District,11933,17
Suffolk County District Court - 6th District,11713,528
Suffolk County District Court - 6th District,11940,32
Suffolk County District Court - 6th District,11961,165
Suffolk County District Court - 6th District,11950,182
Suffolk County District Court - 6th District,11779,315
Suffolk County District Court - 6th District,11782,2
Suffolk County District Court - 6th District,11719,16
Suffolk County District Court - 6th District,11763,372
Suffolk County District Court - 6th District,11951,285
Suffolk County District Court - 6th District,11754,1
Suffolk County District Court - 6th District,11727,1522
Suffolk County District Court - 6th District,11790,27
Suffolk County District Court - 6th District,11789,56
Suffolk County District Court - 6th District,11704,1
Suffolk County District Court - 6th District,11717,1
Suffolk County District Court - 6th District,11777,144
Suffolk County District Court - 6th District,11705,2
Suffolk County District Court - 6th District,11722,2
Suffolk County District Court - 6th District,11741,21
Suffolk County District Court - 6th District,11755,192
Suffolk County District Court - 6th District,11955,694
Suffolk County District Court - 6th District,11949,328
Suffolk County District Court - 6th District,11766,48
Syracuse City Court,13224,318
Syracuse City Court,13209,3
Syracuse City Court,13031,1
Syracuse City Court,13204,1338
Syracuse City Court,13088,2
Syracuse City Court,13219,6
Syracuse City Court,13203,1102
Syracuse City Court,13210,714
Syracuse City Court,75234,1
Syracuse City Court,13215,1
Syracuse City Court,13208,1472
Syracuse City Court,13207,682
Syracuse City Court,13202,517
Syracuse City Court,13214,6
Syracuse City Court,13206,964
Syracuse City Court,13205,1193
Tonawanda City Court,14150,135
Tonawanda City Court,14207,1
Tonawanda City Court,14223,1
Troy City Court,12182,735
Troy City Court,12065,1
Troy City Court,12047,1
Troy City Court,12208,1
Troy City Court,12181,2
Troy City Court,12180,3430
Troy City Court,12211,1
Utica City Court,13492,1
Utica City Court,13502,1392
Utica City Court,13501,1638
Watertown City Court,13601,1191
Watervliet City Court,12189,800
Watervliet City Court,12205,1
White Plains City Court,10605,159
White Plains City Court,10601,431
White Plains City Court,11375,1
White Plains City Court,10469,3
White Plains City Court,10604,85
White Plains City Court,10603,150
White Plains City Court,10607,5
White Plains City Court,10522,1
White Plains City Court,10606,283
White Plains City Court,10801,1
White Plains City Court,11746,2
Yonkers City Court,10901,1
Yonkers City Court,10598,1
Yonkers City Court,10705,2061
Yonkers City Court,10583,54
Yonkers City Court,10707,2
Yonkers City Court,10567,1
Yonkers City Court,10710,566
Yonkers City Court,10708,105
Yonkers City Court,11375,2
Yonkers City Court,11219,1
Yonkers City Court,10704,617
Yonkers City Court,10001,1
Yonkers City Court,10703,603
Yonkers City Court,10701,5840
Yonkers City Court,10461,1
